สัปดาห์,ช่วงวันที่,หมวด,ลำดับ,งาน (Task),รายละเอียด,ผู้รับผิดชอบ,วันเริ่ม,วันเสร็จ,สถานะ,หมายเหตุ
สัปดาห์ที่ 1,29 มิ.ย. - 3 ก.ค. 2026,ตั้งฐานเว็บ WordPress,1.1,เตรียม Hosting + Domain,เลือกโฮสต์ที่รองรับ PHP/MySQL ติดตั้ง SSL (https) และชี้โดเมนปัญหาบล็อก,,2026-06-29,2026-06-29,ยังไม่เริ่ม,
สัปดาห์ที่ 1,29 มิ.ย. - 3 ก.ค. 2026,ตั้งฐานเว็บ WordPress,1.2,ติดตั้ง WordPress,ติดตั้ง WordPress ตั้งค่า Permalink เป็น Post name และตั้งค่าภาษา/โซนเวลาไทย,,2026-06-29,2026-06-30,ยังไม่เริ่ม,
สัปดาห์ที่ 1,29 มิ.ย. - 3 ก.ค. 2026,ตั้งฐานเว็บ WordPress,1.3,เลือก Theme + โครงหน้า,เลือกธีมโหลดไว (เช่น GeneratePress/Astra) วางโครงเมนูและหน้าแรก,,2026-06-30,2026-07-01,ยังไม่เริ่ม,
สัปดาห์ที่ 1,29 มิ.ย. - 3 ก.ค. 2026,ตั้งฐานเว็บ WordPress,1.4,ติดตั้งปลั๊กอินพื้นฐาน,Rank Math (SEO) + ปลั๊กอิน Cache + ปลั๊กอินสำรองข้อมูล (Backup),,2026-07-01,2026-07-02,ยังไม่เริ่ม,
สัปดาห์ที่ 1,29 มิ.ย. - 3 ก.ค. 2026,ตั้งฐานเว็บ WordPress,1.5,ออกแบบโครงสร้าง Timeline,กำหนดว่า Timeline แต่ละช่วงเวลามีฟิลด์อะไรบ้าง และดีไซน์ UI ช่องคอมเมนต์ใต้แต่ละช่วง,,2026-07-02,2026-07-03,ยังไม่เริ่ม,
สัปดาห์ที่ 1,29 มิ.ย. - 3 ก.ค. 2026,ตั้งฐานเว็บ WordPress,1.6,วางแผนสิทธิ์คอมเมนต์,เลือกว่าคอมเมนต์ได้ทันที หรือต้องอนุมัติ (Approve) ก่อนเพื่อกันสแปม,,2026-07-03,2026-07-03,ยังไม่เริ่ม,
สัปดาห์ที่ 2,6 - 10 ก.ค. 2026,เชื่อม Google Sheets + Timeline,2.1,เตรียมฟิลด์ใน Google Sheets,เพิ่มคอลัมน์ Timeline ID เพื่อใช้อ้างอิงกับคอมเมนต์ + จัดโครงสร้างข้อมูลให้ครบ,,2026-07-06,2026-07-06,ยังไม่เริ่ม,
สัปดาห์ที่ 2,6 - 10 ก.ค. 2026,เชื่อม Google Sheets + Timeline,2.2,เชื่อม Sheet เข้า WordPress,เปิดใช้งานระบบ Timeline ให้ดึงข้อมูลจาก Google Sheets ได้สมบูรณ์ (ผ่าน API/ปลั๊กอิน),,2026-07-06,2026-07-08,ยังไม่เริ่ม,
สัปดาห์ที่ 2,6 - 10 ก.ค. 2026,เชื่อม Google Sheets + Timeline,2.3,แสดงผล Timeline,เรนเดอร์ Timeline แต่ละช่วงเวลาบนหน้าเว็บให้ถูกต้องและโหลดไว,,2026-07-08,2026-07-09,ยังไม่เริ่ม,
สัปดาห์ที่ 2,6 - 10 ก.ค. 2026,เชื่อม Google Sheets + Timeline,2.4,ทดสอบการ Sync ข้อมูล,แก้ข้อมูลใน Sheet แล้วเช็กว่าเว็บอัปเดตตาม + วางระบบ Cache ไม่ให้ดึงช้า,,2026-07-09,2026-07-10,ยังไม่เริ่ม,
สัปดาห์ที่ 3,13 - 17 ก.ค. 2026,ระบบคอมเมนต์,3.1,ติดตั้งปลั๊กอินคอมเมนต์,ติดตั้ง wpDiscuz (โหลดไว ปรับแต่งสวย) หรือ Disqus,,2026-07-13,2026-07-13,ยังไม่เริ่ม,
สัปดาห์ที่ 3,13 - 17 ก.ค. 2026,ระบบคอมเมนต์,3.2,ผูกคอมเมนต์กับ Timeline,ตั้งค่าให้แต่ละจุดของ Timeline มีกล่องคอมเมนต์แยกกันชัดเจน (อ้างอิงด้วย Timeline ID),,2026-07-13,2026-07-15,ยังไม่เริ่ม,
สัปดาห์ที่ 3,13 - 17 ก.ค. 2026,ระบบคอมเมนต์,3.3,ตั้งค่าแจ้งเตือน Reply,ออกแบบ/เปิดการแจ้งเตือนเมื่อมีคนคอมเมนต์หรือตอบกลับ,,2026-07-15,2026-07-16,ยังไม่เริ่ม,
สัปดาห์ที่ 3,13 - 17 ก.ค. 2026,ระบบคอมเมนต์,3.4,ทดสอบระบบ (QA),ทดลองพิมพ์คอมเมนต์ ตอบกลับ และเช็กการแสดงผลบนมือถือว่าไม่บดบังเนื้อหาหลัก,,2026-07-16,2026-07-17,ยังไม่เริ่ม,
สัปดาห์ที่ 4,20 - 24 ก.ค. 2026,SEO เต็มรูปแบบ (On-Page & Technical),4.1,เปิดดัชนีคอมเมนต์,ตั้งค่าให้ Google เก็บข้อมูล (Index) เนื้อหาในคอมเมนต์เพื่อช่วยดันอันดับคีย์เวิร์ด,,2026-07-20,2026-07-20,ยังไม่เริ่ม,
สัปดาห์ที่ 4,20 - 24 ก.ค. 2026,SEO เต็มรูปแบบ (On-Page & Technical),4.2,ทำ Schema Markup,ใส่โค้ดบอก Google ว่าหน้านี้คือ Timeline/บทความ เพื่อให้แสดงผลสวยบนหน้าค้นหา,,2026-07-20,2026-07-21,ยังไม่เริ่ม,
สัปดาห์ที่ 4,20 - 24 ก.ค. 2026,SEO เต็มรูปแบบ (On-Page & Technical),4.3,ปรับแต่ง Rank Math,ใส่ Keyword Title และ Meta Description ที่ดึงค่าอัตโนมัติจากข้อมูลในระบบ,,2026-07-21,2026-07-22,ยังไม่เริ่ม,
สัปดาห์ที่ 4,20 - 24 ก.ค. 2026,SEO เต็มรูปแบบ (On-Page & Technical),4.4,วัดความเร็วเว็บ (Core Web Vitals),เช็ก PageSpeed/Core Web Vitals แล้วปรับรูปภาพ+Cache ให้ผ่านเกณฑ์,,2026-07-22,2026-07-23,ยังไม่เริ่ม,
สัปดาห์ที่ 4,20 - 24 ก.ค. 2026,SEO เต็มรูปแบบ (On-Page & Technical),4.5,ส่ง Google ตรวจสอบ,อัปเดต Sitemap และส่ง URL เข้า Google Search Console เพื่อให้ติดหน้าแรกเร็วที่สุด,,2026-07-23,2026-07-24,ยังไม่เริ่ม,
